0,(4,3,2,6,14,2,7,11,7,8),(42,42,43,44,44,44,45,46,46,46),(17,12,2,0),(6,4,1),(24,14),(23,22,20,16,10,5),(31,30,29,26,25,21,19,18,15,13,11,9,7,3),(28,8),(62,61,60,59,58,57,27),(63,56,54,52,51,50,48,44,43,42,41),(55,53,49,47,46,45,40),(39,38,37,36,35,34,33,32)
1,(6,1,8,6,7,5,7,6,11,7),(1,1,1,1,1,1,1,1,1,1),(29,28,27,26,25,24),(31),(30,19,16,7,6,4,2,0),(35,23,20,17,3,1),(62,39,32,22,21,18,5),(38,37,36,34,33),(63,61,60,50,46,15,12),(56,55,48,47,11,10),(59,58,54,53,49,44,43,42,41,13,9),(57,52,51,45,40,14,8)
2,(2,4,1,1,2,8,14,14,11,7),(32,33,34,34,35,36,36,36,36,36),(63,59),(61,60,57,56),(58),(62),(1,0),(15,11,9,8,7,4,3,2),(23,22,21,20,19,18,17,16,14,13,12,10,6,5),(39,38,37,36,33,32,31,30,29,28,27,26,25,24),(52,51,49,48,47,46,44,41,40,35,34),(55,54,53,50,45,43,42)
3,(1,3,1,8,3,3,9,13,6,17),(34,35,35,36,36,38,39,39,39,39),(56),(46,41,40),(44),(63,62,60,59,58,45,43,42),(61,57,47),(13,12,8),(33,32,11,7,5,4,2,1,0),(38,37,36,35,34,19,18,15,14,10,9,6,3),(39,23,22,21,20,17),(55,54,53,52,51,50,49,48,31,30,29,28,27,26,25,24,16)
4,(3,7,1,4,1,3,11,9,14,11),(39,40,40,40,42,42,43,43,43,43),(63,62,58),(61,60,59,57,56,38,34),(35),(39,36,33,32),(37),(43,42,41),(44,40,15,14,13,12,11,10,9,8,2),(47,46,45,7,6,4,3,1,0),(55,54,53,52,51,49,28,21,20,19,18,17,16,5),(50,48,31,30,29,27,26,25,24,23,22)
5,(1,4,8,7,13,7,4,7,7,6),(33,34,34,34,34,34,34,34,34,34),(7),(27,2,1,0),(23,19,15,11,6,5,4,3),(39,37,35,34,32,18,9),(38,36,33,22,21,20,17,16,14,13,12,10,8),(57,51,50,48,43,42,31),(55,53,52,28),(63,54,49,47,26,25,24),(60,59,58,56,44,30,29),(62,61,46,45,41,40)
6,(2,4,12,7,8,7,8,8,7,1),(1,1,1,1,1,1,1,1,1,1),(7,3),(5,2,1,0),(31,27,24,20,19,15,14,11,10,9,6,4),(28,26,25,18,16,12,8),(35,30,29,23,22,21,17,13),(40,39,38,37,36,34,33),(62,60,58,48,45,42,41,32),(63,59,56,53,49,47,46,44),(61,55,54,52,51,50,43),(57)
7,(2,2,1,2,2,10,15,8,16,6),(40,40,41,41,41,42,42,42,42,42),(58,56),(62,60),(57),(61,59),(63,31),(30,15,14,13,12,10,8,7,6,5),(29,28,27,26,25,24,23,22,21,20,19,18,17,11,9),(47,43,39,38,36,35,33,16),(51,50,46,45,44,42,41,40,37,34,32,4,3,2,1,0),(55,54,53,52,49,48)
8,(5,3,9,9,6,6,3,9,11,3),(10,10,11,11,11,11,11,11,11,11),(54,53,52,49,48),(55,51,50),(39,35,34,30,27,26,24,15,14),(45,43,38,33,32,31,29,28,25),(47,46,44,42,41,37),(59,56,40,36,13,12),(60,57,4),(63,62,61,23,16,11,9,8,7),(58,22,21,20,19,18,10,6,5,3,2),(17,1,0)
9,(1,1,7,1,2,9,3,14,9,17),(40,42,43,43,45,45,46,46,46,46),(55),(54),(56,53,52,51,50,49,48),(59),(62,60),(63,61,58,57,14,13,12,11,10),(15,1,0),(22,21,20,19,18,16,9,8,7,6,5,4,3,2),(43,34,33,30,29,27,26,23,17),(47,46,45,44,42,41,40,39,38,37,36,35,32,31,28,25,24)
